sample	condition	replicate
Series1_NHBE_Mock_1	Mock	1
Series1_NHBE_Mock_2	Mock	2
Series1_NHBE_Mock_3	Mock	3
Series1_NHBE_SARS-CoV-2_1	infected	1
Series1_NHBE_SARS-CoV-2_2	infected	2
Series1_NHBE_SARS-CoV-2_3	infected	3
Series2_A549_Mock_1	Mock	1
Series2_A549_Mock_2	Mock	2
Series2_A549_Mock_3	Mock	3
Series2_A549_SARS-CoV-2_1	infected	1
Series2_A549_SARS-CoV-2_2	infected	2
Series2_A549_SARS-CoV-2_3	infected	3
Series3_A549_Mock_1	Mock	1
Series3_A549_Mock_2	Mock	2
Series3_A549_RSV_1	infected	1
Series3_A549_RSV_2	infected	2
Series4_A549_Mock_1	Mock	1
Series4_A549_Mock_2	Mock	2
Series4_A549_IAV_1	infected	1
Series4_A549_IAV_2	infected	2
Series5_A549_Mock_1	Mock	1
Series5_A549_Mock_2	Mock	2
Series5_A549_Mock_3	Mock	3
Series5_A549_SARS-CoV-2_1	infected	1
Series5_A549_SARS-CoV-2_2	infected	2
Series5_A549_SARS-CoV-2_3	infected	3
Series6_A549-ACE2_Mock_1	Mock	1
Series6_A549-ACE2_Mock_2	Mock	2
Series6_A549-ACE2_Mock_3	Mock	3
Series6_A549-ACE2_SARS-CoV-2_1	infected	1
Series6_A549-ACE2_SARS-CoV-2_2	infected	2
Series6_A549-ACE2_SARS-CoV-2_3	infected	3
Series7_Calu3_Mock_1	Mock	1
Series7_Calu3_Mock_2	Mock	2
Series7_Calu3_Mock_3	Mock	3
Series7_Calu3_SARS-CoV-2_1	infected	1
Series7_Calu3_SARS-CoV-2_2	infected	2
Series7_Calu3_SARS-CoV-2_3	infected	3
Series8_A549_Mock_1	Mock	1
Series8_A549_Mock_2	Mock	2
Series8_A549_Mock_3	Mock	3
Series8_A549_RSV_1	infected	1
Series8_A549_RSV_2	infected	2
Series8_A549_RSV_3	infected	3
Series8_A549_HPIV3_3	infected	3
Series8_A549_HPIV3_2	infected	2
Series8_A549_HPIV3_1	infected	1
Series9_NHBE_Mock_1	Mock	1
Series9_NHBE_Mock_2	Mock	2
Series9_NHBE_Mock_3	Mock	3
Series9_NHBE_Mock_4	Mock	4
Series9_NHBE_IAV_1	infected	1
Series9_NHBE_IAV_2	infected	2
Series9_NHBE_IAV_3	infected	3
Series9_NHBE_IAV_4	infected	4
Series9_NHBE_IAVdNS1_1	infected	1
Series9_NHBE_IAVdNS1_2	infected	2
Series9_NHBE_IAVdNS1_3	infected	3
Series9_NHBE_IAVdNS1_4	infected	4
Series9_NHBE_IFNB_4h_1	infected	1
Series9_NHBE_IFNB_4h_2	infected	2
Series9_NHBE_IFNB_6h_1	infected	1
Series9_NHBE_IFNB_6h_2	infected	2
Series9_NHBE_IFNB_12h_1	infected	1
Series9_NHBE_IFNB_12h_2	infected	2
Series15_HealthyLungBiopsy_2	infected	2
Series15_HealthyLungBiopsy_1	infected	1
Series15_COVID19Lung_2	infected	2
Series15_COVID19Lung_1	infected	1
Series16_A549-ACE2_Mock_1	Mock	1
Series16_A549-ACE2_Mock_2	Mock	2
Series16_A549-ACE2_Mock_3	Mock	3
Series16_A549-ACE2_SARS-CoV-2_1	infected	1
Series16_A549-ACE2_SARS-CoV-2_2	infected	2
Series16_A549-ACE2_SARS-CoV-2_3	infected	3
Series16_A549-ACE2_SARS-CoV-2_Rux_1	infected	1
Series16_A549-ACE2_SARS-CoV-2_Rux_2	infected	2
Series16_A549-ACE2_SARS-CoV-2_Rux_3	infected	3
